node_name	node_type
CHEBI:36915	0
CHEBI:35222	0
CHEBI:24318	0
CHEBI:24384	0
CHEBI:37163	0
CL:0000039	0
CL:0000081	0
CL:0000151	0
CL:0000182	0
CL:0000197	0
CL:0000219	0
CL:0000312	0
CL:0000329	0
CL:0000540	0
CL:0000558	0
CL:0002079	0
CL:0002080	0
CL:0002088	0
CL:0011115	0
CL:1000488	0
GO:0005575	0
PCO:0000031	0
RO:0002577	0
UBERON:0000006	0
UBERON:0000009	0
UBERON:0000016	0
UBERON:0000023	0
UBERON:0000030	0
UBERON:0000062	0
UBERON:0000075	0
UBERON:0000086	0
UBERON:0000158	0
UBERON:0000170	0
UBERON:0000178	0
UBERON:0000304	0
UBERON:0000332	0
UBERON:0000353	0
UBERON:0000361	0
UBERON:0000383	0
UBERON:0000456	0
UBERON:0000467	0
UBERON:0000483	0
UBERON:0001015	0
UBERON:0001165	0
UBERON:0001166	0
UBERON:0001282	0
UBERON:0001434	0
UBERON:0001558	0
UBERON:0001708	0
UBERON:0001768	0
UBERON:0001775	0
UBERON:0001896	0
UBERON:0001981	0
UBERON:0002025	0
UBERON:0002049	0
UBERON:0002067	0
UBERON:0002072	0
UBERON:0002185	0
UBERON:0002186	0
UBERON:0002199	0
UBERON:0002294	0
UBERON:0002328	0
UBERON:0002385	0
UBERON:0002407	0
UBERON:0002418	0
UBERON:0002423	0
UBERON:0002521	0
UBERON:0002522	0
UBERON:0002616	0
UBERON:0003023	0
UBERON:0003083	0
UBERON:0003099	0
UBERON:0003104	0
UBERON:0003126	0
UBERON:0003593	0
UBERON:0003687	0
UBERON:0003714	0
UBERON:0003729	0
UBERON:0003891	0
UBERON:0004064	0
UBERON:0004288	0
UBERON:0004647	0
UBERON:0004708	0
UBERON:0004716	0
UBERON:0004786	0
UBERON:0005162	0
UBERON:0005388	0
UBERON:0005423	0
UBERON:0005742	0
UBERON:0005764	0
UBERON:0005913	0
UBERON:0006535	0
UBERON:0006538	0
UBERON:0007324	0
UBERON:0007475	0
UBERON:0007616	0
UBERON:0009142	0
UBERON:0009664	0
UBERON:0009842	0
UBERON:0010362	0
UBERON:0010743	0
UBERON:0011234	0
UBERON:0011595	0
UBERON:0011823	0
UBERON:0011860	0
UBERON:0011892	0
UBERON:0011953	0
UBERON:0012375	0
UBERON:0013727	0
UBERON:0014389	0
UBERON:0018254	0
UBERON:0018260	0
UBERON:0019207	0
UBERON:0022293	0
